Year,Division,Indicator,Description,Number of Students Missing 10% or More of the Days Enrolled,Number of Students Enrolled for Half the Year or More,Chronic Absenteeism Rate,
2019,Accomack County Public Schools,Accawmacke Elementary,Chronic Absenteeism,2018 - 2019,52,482,10.79
2019,Accomack County Public Schools,Arcadia High,Chronic Absenteeism,2018 - 2019,89,667,13.34
2019,Accomack County Public Schools,Arcadia Middle ,Chronic Absenteeism,2018 - 2019,15,538,2.79
2019,Accomack County Public Schools,Chincoteague Elementary,Chronic Absenteeism,2018 - 2019,21,215,9.77
2019,Accomack County Public Schools,Chincoteague High,Chronic Absenteeism,2018 - 2019,46,289,15.92
2019,Accomack County Public Schools,Kegotank Elementary,Chronic Absenteeism,2018 - 2019,73,526,13.88
2019,Accomack County Public Schools,Metompkin Elementary,Chronic Absenteeism,2018 - 2019,59,563,10.48
2019,Accomack County Public Schools,Nandua High,Chronic Absenteeism,2018 - 2019,57,698,8.17
2019,Accomack County Public Schools,Nandua Middle,Chronic Absenteeism,2018 - 2019,38,510,7.45
2019,Accomack County Public Schools,Pungoteague Elementary,Chronic Absenteeism,2018 - 2019,43,414,10.39
2019,Accomack County Public Schools,Tangier Combined,Chronic Absenteeism,2018 - 2019,7,45,15.56
2019,Albemarle County Public Schools,Agnor-Hurt Elementary,Chronic Absenteeism,2018 - 2019,42,445,9.44
2019,Albemarle County Public Schools,Albemarle High,Chronic Absenteeism,2018 - 2019,167,1898,8.8
2019,Albemarle County Public Schools,Baker-Butler Elem,Chronic Absenteeism,2018 - 2019,57,632,9.02
2019,Albemarle County Public Schools,Broadus Wood Elementary,Chronic Absenteeism,2018 - 2019,15,259,5.79
2019,Albemarle County Public Schools,Brownsville Elementary,Chronic Absenteeism,2018 - 2019,41,817,5.02
2019,Albemarle County Public Schools,Crozet Elementary,Chronic Absenteeism,2018 - 2019,33,359,9.19
2019,Albemarle County Public Schools,Hollymead Elementary,Chronic Absenteeism,2018 - 2019,9,434,2.07
2019,Albemarle County Public Schools,Jack Jouett Middle,Chronic Absenteeism,2018 - 2019,91,618,14.72
2019,Albemarle County Public Schools,Jackson P. Burley Middle,Chronic Absenteeism,2018 - 2019,65,584,11.13
2019,Albemarle County Public Schools,Joseph T. Henley Middle,Chronic Absenteeism,2018 - 2019,82,893,9.18
2019,Albemarle County Public Schools,Leslie H. Walton Middle,Chronic Absenteeism,2018 - 2019,48,363,13.22
2019,Albemarle County Public Schools,Mary Carr Greer Elementary,Chronic Absenteeism,2018 - 2019,56,531,10.55
2019,Albemarle County Public Schools,Meriwether Lewis Elementary,Chronic Absenteeism,2018 - 2019,24,407,5.9
2019,Albemarle County Public Schools,Monticello High,Chronic Absenteeism,2018 - 2019,134,1113,12.04
2019,Albemarle County Public Schools,Mortimer Y. Sutherland Middle,Chronic Absenteeism,2018 - 2019,42,579,7.25
2019,Albemarle County Public Schools,Mountain View Elementary,Chronic Absenteeism,2018 - 2019,51,635,8.03
2019,Albemarle County Public Schools,Murray School,Chronic Absenteeism,2018 - 2019,23,80,28.75
2019,Albemarle County Public Schools,Red Hill Elementary,Chronic Absenteeism,2018 - 2019,23,179,12.85
2019,Albemarle County Public Schools,Scottsville Elementary,Chronic Absenteeism,2018 - 2019,20,232,8.62
2019,Albemarle County Public Schools,Stone Robinson Elementary,Chronic Absenteeism,2018 - 2019,42,416,10.1
2019,Albemarle County Public Schools,Stony Point Elementary,Chronic Absenteeism,2018 - 2019,14,228,6.14
2019,Albemarle County Public Schools,Virginia L. Murray Elementary,Chronic Absenteeism,2018 - 2019,7,262,2.67
2019,Albemarle County Public Schools,Western Albemarle High,Chronic Absenteeism,2018 - 2019,71,1139,6.23
2019,Albemarle County Public Schools,Woodbrook Elementary,Chronic Absenteeism,2018 - 2019,27,484,5.58
2019,Alexandria City Public Schools,Charles Barrett Elementary,Chronic Absenteeism,2018 - 2019,23,510,4.51
2019,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,Chronic Absenteeism,2018 - 2019,29,372,7.8
2019,Alexandria City Public Schools,Douglas Macarthur Elementary,Chronic Absenteeism,2018 - 2019,44,687,6.4
2019,Alexandria City Public Schools,Ferdinand T. Day Elementary,Chronic Absenteeism,2018 - 2019,30,412,7.28
2019,Alexandria City Public Schools,Francis C. Hammond Middle,Chronic Absenteeism,2018 - 2019,33,1460,2.26
2019,Alexandria City Public Schools,George Mason Elementary,Chronic Absenteeism,2018 - 2019,54,477,11.32
2019,Alexandria City Public Schools,George Washington Middle,Chronic Absenteeism,2018 - 2019,59,1503,3.93
2019,Alexandria City Public Schools,James K. Polk Elementary,Chronic Absenteeism,2018 - 2019,31,732,4.23
2019,Alexandria City Public Schools,Jefferson-Houston Elementary,Chronic Absenteeism,2018 - 2019,67,593,11.3
