county,september,november,date,link,notes 
Albemarle County,Fully Remote,Partial Hybrid,10/8/2020,Link,
Carroll County,All Hybrid,Partial in Person,10/12/2020,Link,Went back to virtual 11/18/2020
Charlotte County,Fully Remote,All Hybrid,10/5/2020,Link,
Chesapeake,Fully Remote,Partial in Person,11/16/2020,Link,
Chesterfield County,Fully Remote,All Hybrid,9/29/2020,Link,Went back to virtual 11/30/2020
Clarke County,All Hybrid,Partial in Person,11/9/2020,Link,
Cumberland County,Fully Remote,All Hybrid,1/7/2021,Link,
Dinwiddie County,All Hybrid,Partial in Person,10/5/2020,Link,
Essex County,Fully Remote,Partial in Person,1/19/2021,Link,More details
Fairfax County,Fully Remote,Partial Hybrid,11/16/2020,Link, 
Falls Church,Fully Remote,Partial Hybrid,11/9/2020,Link,
Fauquier County,Fully Remote,All Hybrid,11/9/2020,Link,
Fluvanna County,Fully Remote,All Hybrid,11/5/2020,Link,
Galax,Fully Remote,In Person,10/7/2020,Link,
Giles County,All Hybrid,Partial in Person,11/16/2020,Link,
Gloucester County,Fully Remote,All Hybrid,10/19/2020,Link,
Goochland County,Fully Remote,Partial in Person,10/19/2020,Link,
Isle of Wight County,Partial Hybrid,All Hybrid,10/26/2020,Link,
Lee County,Partial in Person,In Person,10/19/2020,Link,
Loudoun County,Fully Remote,Partial Hybrid,12/1/2020,Link,
Lynchburg,Fully Remote,All Hybrid,10/9/2020,Link,
Mathews County,Partial Hybrid,Fully Remote,10/22/2020,Link,
Middlesex County,Fully Remote,All Hybrid,10/16/2020,Link,
New Kent County,Fully Remote,Partial in Person,11/9/2020,Link,
Northampton County,All Hybrid,Partial in Person,12/7/2020,Link,
Nottoway County,Fully Remote,Partial in Person,10/12/2020,Link,
Patrick County,Fully Remote,All Hybrid,9/14/2020,Link,
Powhatan County,Fully Remote,Partial in Person,9/14/2020,Link,Fourth and fifth graders to return 11/4
Prince Edward County,Fully Remote,Partial Hybrid,11/9/2020,Link,
Prince William County,Fully Remote,Partial Hybrid,12/1/2020,Link,
Pulaski County,Partial Hybrid,In Person,10/5/2020,Link,
Roanoke,Fully Remote,Partial Hybrid,10/28/2020,Link,
Russell County,All Hybrid,Partial in Person,9/28/2020,Link,
Shenandoah County,Fully Remote,Partial in Person,10/12/2020,Link,
Smyth County,Fully Remote,All Hybrid,10/26/2020,Link,
Spotsylvania County,Fully Remote,All Hybrid,10/12/2020,Link,
Stafford County,Fully Remote,Partial Hybrid,10/27/2020,Link,
Virginia Beach,Fully Remote,Partial in Person,11/12/2020,Link,"11/17, they're all virtual"
Washington County,Fully Remote,Partial in Person,10/12/2020,Link,
Waynesboro,Fully Remote,Partial in Person,11/10/2020,Link,
West Point,Fully Remote,All Hybrid,10/5/2020,Link,
Williamsburg-James City County,Fully Remote,Partial Hybrid,11/9/2020,Link,
Winchester,All Hybrid,Partial in Person,11/23/2020,Link,
Wise County,Fully Remote,In Person,9/28/2020,Link,
Wythe County,Fully Remote,In Person,10/12/2020,Link,
York County,Fully Remote,Partial Hybrid,10/5/2020,Link,
