county,startstatus,status1,status 2,changedate2,change,source,,,
Accomack County,All Hybrid,All Hybrid,Fully Remote,1/11/2021,yes,link,,,
Albemarle County,Fully Remote,Partial Hybrid,Fully Remote,12/14/2020,yes,link,,,
Alexandria,Fully Remote,Fully Remote,Fully Remote,NA,no,link,startstatus,status1,status2
Alleghany County,All Hybrid,All Hybrid,Fully Remote,11/8/2021,yes,link,66,34,92
Amelia County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Amherst County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Appomattox County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Arlington County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Augusta County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Bath County,In Person,In Person,Fully Remote,12/1/2020,yes,link,,,
Bedford County,Partial in Person,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Bland County,All Hybrid,All Hybrid,Fully Remote,1/4/2021,yes,link,,,
Botetourt County,Partial in Person,Partial in Person,Partial Hybrid,1/4/2021,yes,link,,,
Bristol,In Person,In Person,Fully Remote,1/4/2021,yes,link,,,
Brunswick County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Buchanan County,In Person,In Person,Fully Remote,1/18/2021,yes,link,,,
Buckingham County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Buena Vista,Partial in Person,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Campbell County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Caroline County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Carroll County,All Hybrid,Partial in Person,Fully Remote,1/9/2021,yes,link,,,
Charles City County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Charlotte County,Fully Remote,All Hybrid,Fully Remote,1/4/2021,yes,link,,,
Charlottesville,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Chesapeake,Fully Remote,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Chesterfield County,Fully Remote,All Hybrid,Fully Remote,11/30/2020,yes,link,,,
Clarke County,All Hybrid,Partial in Person,Partial in Person,NA,no,link,,,
Colonial Heights,All Hybrid,All Hybrid,Fully Remote,11/12/2020,yes,link,,,
Covington,Partial in Person,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Craig County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Culpeper County,All Hybrid,All Hybrid,All Hybrid,NA,no,link,,,
Cumberland County,Fully Remote,All Hybrid,Fully Remote,1/4/2021,yes,link,,,
Danville,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Dickenson County,All Hybrid,All Hybrid,Fully Remote,11/23/2020,yes,link,,,
Dinwiddie County,All Hybrid,Partial in Person,Fully Remote,1/14/2021,yes,link,,,
Essex County,Fully Remote,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Fairfax County,Fully Remote,Partial Hybrid,Fully Remote,1/4/2021,yes,link,,,
Falls Church,Fully Remote,Partial Hybrid,Fully Remote,1/4/2021,yes,link,,,
Fauquier County,Fully Remote,All Hybrid,Fully Remote,1/4/2021,yes,link,,,
Floyd County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Fluvanna County,Fully Remote,All Hybrid,All Hybrid,NA,no,link,,,
Franklin,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Franklin County,All Hybrid,All Hybrid,All Hybrid,NA,no,link,,,
Frederick County,Partial in Person,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Fredericksburg,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Galax,Fully Remote,In Person,Fully Remote,1/4/2021,yes,link,,,
Giles County,All Hybrid,Partial in Person,All Hybrid,1/4/2021,yes,link,,,
Gloucester County,Fully Remote,All Hybrid,All Hybrid,NA,no,link,,,
Goochland County,Fully Remote,Partial in Person,Partial in Person,NA,no,link,,,
Grayson County,In Person,In Person,In Person,NA,no,link,,,
Greene County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Greensville County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Halifax County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Hampton,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Hanover County,In Person,In Person,In Person,NA,no,link,,,
Harrisonburg,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Henrico County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Henry County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Highland County,In Person,In Person,Fully Remote,1/4/2021,yes,link,,,
Hopewell,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Isle of Wight County,Partial Hybrid,All Hybrid,Fully Remote,1/4/2021,yes,link,,,
King and Queen County,All Hybrid,All Hybrid,All Hybrid,NA,no,link,,,
King George County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
King William County,All Hybrid,All Hybrid,All Hybrid,NA,no,link,,,
Lancaster County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Lee County,Partial in Person,In Person,Fully Remote,1/4/2021,yes,link,,,
Lexington,In Person,In Person,Fully Remote,1/4/2021,yes,link,,,
Loudoun County,Fully Remote,Partial Hybrid,Fully Remote,1/4/2021,yes,link,,,
Louisa County,All Hybrid,All Hybrid,Fully Remote,1/14/2021,yes,link,,,
Lunenburg County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Lynchburg,Fully Remote,All Hybrid,Fully Remote,1/4/2021,yes,link,,,
Madison County,Partial in Person,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Manassas,Fully Remote,Fully Remote,Fully Remote,1/4/2021,no,link,,,
Manassas Park,Fully Remote,Fully Remote,Fully Remote,1/4/2021,no,link,,,
Martinsville,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Mathews County,Partial Hybrid,Fully Remote,Fully Remote,NA,no,link,,,
Mecklenburg County,Partial in Person,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Middlesex County,Fully Remote,All Hybrid,All Hybrid,NA,no,link,,,
Montgomery County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Nelson County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
New Kent County,Fully Remote,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Newport News,Fully Remote,Fully Remote,Fully Remote,1/4/2021,no,link,,,
Norfolk,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Northampton County,All Hybrid,Partial in Person,Fully Remote,NA,yes,link,,,
Northumberland County,All Hybrid,All Hybrid,Fully Remote,1/11/2021,yes,link,,,
Norton,In Person,In Person,In Person,NA,no,link,,,
Nottoway County,Fully Remote,Partial in Person,Partial in Person,NA,no,link,,,
Orange County,All Hybrid,All Hybrid,Fully Remote,1/4/2021,yes,link,,,
Page County,Partial in Person,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Patrick County,Fully Remote,All Hybrid,Fully Remote,1/14/2021,yes,link,,,
Petersburg,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Pittsylvania County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Poquoson,Partial Hybrid,Partial Hybrid,Fully Remote,1/4/2021,yes,link,,,
Portsmouth,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Powhatan County,All Hybrid,Partial in Person,Partial in Person,NA,no,link,,,
Prince Edward County,Fully Remote,Partial Hybrid,Fully Remote,1/4/2021,yes,link,,,
Prince George County,In Person,In Person,In Person,NA,no,link,,,
Prince William County,Fully Remote,Partial Hybrid,Partial Hybrid,NA,no,link,,,
Pulaski County,Partial Hybrid,In Person,Fully Remote,11/23/2020,yes,link,,,
Radford,All Hybrid,All Hybrid,Fully Remote,1/4/2021,yes,link,,,
Rappahannock County,All Hybrid,All Hybrid,Partial in Person,1/4/2021,yes,link,,,
Richmond,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Richmond County,All Hybrid,All Hybrid,Fully Remote,1/4/2021,yes,link,,,
Roanoke,Fully Remote,Partial Hybrid,Partial Hybrid,NA,no,link,,,
Roanoke County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Rockbridge County,Partial in Person,Partial in Person,Fully Remote,11/30/2020,yes,link,,,
Rockingham County,Partial in Person,Partial in Person,Fully Remote,11/9/2020,yes,link,,,
Russell County,All Hybrid,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Salem,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Scott County,Partial in Person,Partial in Person,Fully Remote,11/2/2020,yes,link,,,
Shenandoah County,Fully Remote,Partial in Person,All Hybrid,11/4/2021,yes,link,,,
Smyth County,Fully Remote,All Hybrid,Fully Remote,12/7/2020,yes,link,,,
Southampton County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Spotsylvania County,Fully Remote,All Hybrid,Fully Remote,1/4/2021,yes,link,,,
Stafford County,Fully Remote,Partial Hybrid,Fully Remote,1/4/2021,yes,link,,,
Staunton,Fully Remote,Fully Remote,Fully Remote,1/4/2021,no,link,,,
Suffolk,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Surry County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Sussex County,Fully Remote,Fully Remote,Fully Remote,NA,no,link,,,
Tazewell County,In Person,In Person,In Person,NA,no,link,,,
Virginia Beach,Fully Remote,Partial in Person,Fully Remote,1/4/2021,yes,link,,,
Warren County,Partial in Person,Partial in Person,Partial in Person,NA,no,link,,,
Washington County,Fully Remote,Partial in Person,Fully Remote,12/4/2020,yes,link,,,
Waynesboro,Fully Remote,Partial in Person,Partial in Person,NA,no,link,,,
Westmoreland County,All Hybrid,All Hybrid,Fully Remote,1/7/2021,yes,link,,,
Williamsburg-James City County,Fully Remote,Partial Hybrid,Fully Remote,1/4/2021,yes,link,,,
Winchester,All Hybrid,Partial in Person,Partial in Person,NA,no,link,,,
Wise County,Fully Remote,In Person,Fully Remote,1/4/2021,yes,link,,,
Wythe County,Fully Remote,In Person,Fully Remote,12/7/2020,yes,link,,,
York County,Fully Remote,Partial Hybrid,Fully Remote,1/4/2021,yes,link,,,
