Year,Division,Indicator,Description,Dropouts,Students in the Cohort,Cohort Dropout Rate,
2019,Accomack County Public Schools,Arcadia High,Dropout Rate,Class of 2019,14,151,9.27
2019,Accomack County Public Schools,Chincoteague High,Dropout Rate,Class of 2019,0,42,0
2019,Accomack County Public Schools,Nandua High,Dropout Rate,Class of 2019,15,203,7.39
2019,Accomack County Public Schools,Tangier Combined,Dropout Rate,Class of 2019,<,<,0
2019,Albemarle County Public Schools,Albemarle High,Dropout Rate,Class of 2019,28,480,5.83
2019,Albemarle County Public Schools,Monticello High,Dropout Rate,Class of 2019,13,296,4.39
2019,Albemarle County Public Schools,Murray School,Dropout Rate,Class of 2019,1,33,3.03
2019,Albemarle County Public Schools,Western Albemarle High,Dropout Rate,Class of 2019,2,273,0.73
2019,Alexandria City Public Schools,T.C. Williams High School,Dropout Rate,Class of 2019,74,962,7.69
2019,Alleghany County Public Schools,Alleghany High,Dropout Rate,Class of 2019,6,189,3.17
2019,Amelia County Public Schools,Amelia County High,Dropout Rate,Class of 2019,4,143,2.8
2019,Amherst County Public Schools,Amherst County High,Dropout Rate,Class of 2019,21,290,7.24
2019,Appomattox County Public Schools,Appomattox County High,Dropout Rate,Class of 2019,8,192,4.17
2019,Arlington County Public Schools,Arlington Community High,Dropout Rate,Class of 2019,11,37,29.73
2019,Arlington County Public Schools,Wakefield High,Dropout Rate,Class of 2019,42,533,7.88
2019,Arlington County Public Schools,Washington-Liberty High,Dropout Rate,Class of 2019,39,672,5.8
2019,Arlington County Public Schools,Yorktown High,Dropout Rate,Class of 2019,7,527,1.33
2019,Augusta County Public Schools,Buffalo Gap High,Dropout Rate,Class of 2019,3,113,2.65
2019,Augusta County Public Schools,Fort Defiance High,Dropout Rate,Class of 2019,8,200,4
2019,Augusta County Public Schools,Riverheads High,Dropout Rate,Class of 2019,3,119,2.52
2019,Augusta County Public Schools,Stuarts Draft High,Dropout Rate,Class of 2019,1,186,0.54
2019,Augusta County Public Schools,Wilson Memorial High,Dropout Rate,Class of 2019,6,175,3.43
2019,Bath County Public Schools,Bath County High,Dropout Rate,Class of 2019,3,48,6.25
2019,Bedford County Public Schools,Jefferson Forest High,Dropout Rate,Class of 2019,12,359,3.34
2019,Bedford County Public Schools,Liberty High,Dropout Rate,Class of 2019,13,207,6.28
2019,Bedford County Public Schools,Staunton River High,Dropout Rate,Class of 2019,16,236,6.78
2019,Bland County Public Schools,Bland County High,Dropout Rate,Class of 2019,4,75,5.33
2019,Botetourt County Public Schools,James River High,Dropout Rate,Class of 2019,3,140,2.14
2019,Botetourt County Public Schools,Lord Botetourt High,Dropout Rate,Class of 2019,8,245,3.27
2019,Bristol City Public Schools,Virginia High,Dropout Rate,Class of 2019,13,188,6.91
2019,Brunswick County Public Schools,Brunswick High,Dropout Rate,Class of 2019,16,130,12.31
2019,Buchanan County Public Schools,Council High ,Dropout Rate,Class of 2019,0,33,0
2019,Buchanan County Public Schools,Grundy High,Dropout Rate,Class of 2019,8,109,7.34
2019,Buchanan County Public Schools,Hurley High,Dropout Rate,Class of 2019,1,39,2.56
2019,Buchanan County Public Schools,Twin Valley High,Dropout Rate,Class of 2019,5,41,12.2
2019,Buckingham County Public Schools,Buckingham County High,Dropout Rate,Class of 2019,6,128,4.69
2019,Buena Vista City Public Schools,Parry McCluer High School,Dropout Rate,Class of 2019,5,111,4.5
2019,Campbell County Public Schools,Altavista High,Dropout Rate,Class of 2019,4,90,4.44
2019,Campbell County Public Schools,Brookville High,Dropout Rate,Class of 2019,8,259,3.09
2019,Campbell County Public Schools,Rustburg High,Dropout Rate,Class of 2019,9,222,4.05
2019,Campbell County Public Schools,William Campbell High,Dropout Rate,Class of 2019,0,72,0
2019,Caroline County Public Schools,Caroline High,Dropout Rate,Class of 2019,12,301,3.99
2019,Carroll County Public Schools,Carroll County High,Dropout Rate,Class of 2019,18,282,6.38
2019,Charles City County Public Schools,Charles City County High,Dropout Rate,Class of 2019,0,42,0
2019,Charlotte County Public Schools,Randolph-Henry High,Dropout Rate,Class of 2019,8,136,5.88
2019,Charlottesville City Public Schools,Charlottesville High,Dropout Rate,Class of 2019,5,281,1.78
2019,Chesapeake City Public Schools,Deep Creek High,Dropout Rate,Class of 2019,19,409,4.65
2019,Chesapeake City Public Schools,Grassfield High,Dropout Rate,Class of 2019,8,559,1.43
2019,Chesapeake City Public Schools,Great Bridge High,Dropout Rate,Class of 2019,7,364,1.92
2019,Chesapeake City Public Schools,Hickory High,Dropout Rate,Class of 2019,4,421,0.95
2019,Chesapeake City Public Schools,Indian River High,Dropout Rate,Class of 2019,19,415,4.58
2019,Chesapeake City Public Schools,Oscar F. Smith High,Dropout Rate,Class of 2019,26,540,4.81
2019,Chesapeake City Public Schools,Western Branch High,Dropout Rate,Class of 2019,13,533,2.44
2019,Chesterfield County Public Schools,Carver College and Career Academy,Dropout Rate,Class of 2019,45,162,27.78
2019,Chesterfield County Public Schools,Clover Hill High,Dropout Rate,Class of 2019,12,469,2.56
2019,Chesterfield County Public Schools,Cosby High,Dropout Rate,Class of 2019,3,598,0.5
2019,Chesterfield County Public Schools,James River High,Dropout Rate,Class of 2019,51,559,9.12
