Year,Level,Division,Grade,Count
2020 - 2021,DIV,Accomack County Public Schools,,4873
2020 - 2021,DIV,Accomack County Public Schools,PG,9
2020 - 2021,DIV,Accomack County Public Schools,PK,123
2020 - 2021,DIV,Accomack County Public Schools,KG,311
2020 - 2021,DIV,Accomack County Public Schools,1,340
2020 - 2021,DIV,Accomack County Public Schools,2,319
2020 - 2021,DIV,Accomack County Public Schools,3,348
2020 - 2021,DIV,Accomack County Public Schools,4,379
2020 - 2021,DIV,Accomack County Public Schools,5,344
2020 - 2021,DIV,Accomack County Public Schools,6,378
2020 - 2021,DIV,Accomack County Public Schools,7,408
2020 - 2021,DIV,Accomack County Public Schools,8,372
2020 - 2021,DIV,Accomack County Public Schools,9,430
2020 - 2021,DIV,Accomack County Public Schools,10,423
2020 - 2021,DIV,Accomack County Public Schools,11,345
2020 - 2021,DIV,Accomack County Public Schools,12,344
2020 - 2021,DIV,Albemarle County Public Schools,,13532
2020 - 2021,DIV,Albemarle County Public Schools,PK,219
2020 - 2021,DIV,Albemarle County Public Schools,KG,854
2020 - 2021,DIV,Albemarle County Public Schools,1,1015
2020 - 2021,DIV,Albemarle County Public Schools,2,986
2020 - 2021,DIV,Albemarle County Public Schools,3,975
2020 - 2021,DIV,Albemarle County Public Schools,4,992
2020 - 2021,DIV,Albemarle County Public Schools,5,990
2020 - 2021,DIV,Albemarle County Public Schools,6,1072
2020 - 2021,DIV,Albemarle County Public Schools,7,1047
2020 - 2021,DIV,Albemarle County Public Schools,8,1064
2020 - 2021,DIV,Albemarle County Public Schools,9,1039
2020 - 2021,DIV,Albemarle County Public Schools,10,1132
2020 - 2021,DIV,Albemarle County Public Schools,11,1065
2020 - 2021,DIV,Albemarle County Public Schools,12,1082
2020 - 2021,DIV,Alexandria City Public Schools,,15846
2020 - 2021,DIV,Alexandria City Public Schools,PG,1
2020 - 2021,DIV,Alexandria City Public Schools,PK,468
2020 - 2021,DIV,Alexandria City Public Schools,KG,1265
2020 - 2021,DIV,Alexandria City Public Schools,1,1385
2020 - 2021,DIV,Alexandria City Public Schools,2,1361
2020 - 2021,DIV,Alexandria City Public Schools,3,1270
2020 - 2021,DIV,Alexandria City Public Schools,4,1262
2020 - 2021,DIV,Alexandria City Public Schools,5,1226
2020 - 2021,DIV,Alexandria City Public Schools,6,1129
2020 - 2021,DIV,Alexandria City Public Schools,7,1131
2020 - 2021,DIV,Alexandria City Public Schools,8,1168
2020 - 2021,DIV,Alexandria City Public Schools,9,1140
2020 - 2021,DIV,Alexandria City Public Schools,10,1135
2020 - 2021,DIV,Alexandria City Public Schools,11,912
2020 - 2021,DIV,Alexandria City Public Schools,12,993
