Year,Division,Indicator,Description,Diplomas,GEDs,Certificates of Completion,Still Enrolled,Graduation Completion Index,
2019,Accomack County Public Schools,Arcadia High,Graduation and Completion ,Class of 2019,139,1,0,2,88.8
2019,Accomack County Public Schools,Chincoteague High,Graduation and Completion ,Class of 2019,42,0,0,0,100
2019,Accomack County Public Schools,Nandua High,Graduation and Completion ,Class of 2019,189,2,0,0,89.9
2019,Accomack County Public Schools,Tangier Combined,Graduation and Completion ,Class of 2019,<,<,<,<,100
2019,Albemarle County Public Schools,Albemarle High,Graduation and Completion ,Class of 2019,445,1,0,6,93
2019,Albemarle County Public Schools,Monticello High,Graduation and Completion ,Class of 2019,283,1,1,3,94.1
2019,Albemarle County Public Schools,Murray School,Graduation and Completion ,Class of 2019,32,2,0,2,89.5
2019,Albemarle County Public Schools,Western Albemarle High,Graduation and Completion ,Class of 2019,270,2,0,1,98.6
2019,Alexandria City Public Schools,T.C. Williams High School,Graduation and Completion ,Class of 2019,812,22,0,38,86.7
2019,Alleghany County Public Schools,Alleghany High,Graduation and Completion ,Class of 2019,179,0,0,8,96.1
2019,Amelia County Public Schools,Amelia County High,Graduation and Completion ,Class of 2019,139,0,0,0,97.2
2019,Amherst County Public Schools,Amherst County High,Graduation and Completion ,Class of 2019,251,6,2,9,90.1
2019,Appomattox County Public Schools,Appomattox County High,Graduation and Completion ,Class of 2019,180,5,0,1,95.1
2019,Arlington County Public Schools,Arlington Community High,Graduation and Completion ,Class of 2019,29,0,0,36,66.9
2019,Arlington County Public Schools,Wakefield High,Graduation and Completion ,Class of 2019,490,2,1,3,90.8
2019,Arlington County Public Schools,Washington-Liberty High,Graduation and Completion ,Class of 2019,632,2,2,5,93.6
2019,Arlington County Public Schools,Yorktown High,Graduation and Completion ,Class of 2019,520,2,0,4,98.2
2019,Augusta County Public Schools,Buffalo Gap High,Graduation and Completion ,Class of 2019,108,2,1,0,95.4
2019,Augusta County Public Schools,Fort Defiance High,Graduation and Completion ,Class of 2019,186,3,1,3,93.9
2019,Augusta County Public Schools,Riverheads High,Graduation and Completion ,Class of 2019,115,0,0,1,97.2
2019,Augusta County Public Schools,Stuarts Draft High,Graduation and Completion ,Class of 2019,171,10,0,4,96.4
2019,Augusta County Public Schools,Wilson Memorial High,Graduation and Completion ,Class of 2019,159,2,0,8,93.8
2019,Bath County Public Schools,Bath County High,Graduation and Completion ,Class of 2019,42,0,0,0,85.7
2019,Bedford County Public Schools,Jefferson Forest High,Graduation and Completion ,Class of 2019,336,4,0,10,95.3
2019,Bedford County Public Schools,Liberty High,Graduation and Completion ,Class of 2019,187,4,0,4,91.8
2019,Bedford County Public Schools,Staunton River High,Graduation and Completion ,Class of 2019,211,9,0,2,92.1
2019,Bland County Public Schools,Bland County High,Graduation and Completion ,Class of 2019,70,0,0,1,94.3
2019,Botetourt County Public Schools,James River High,Graduation and Completion ,Class of 2019,135,2,0,0,97.5
2019,Botetourt County Public Schools,Lord Botetourt High,Graduation and Completion ,Class of 2019,235,2,0,3,96.2
2019,Bristol City Public Schools,Virginia High,Graduation and Completion ,Class of 2019,160,1,0,8,84
2019,Brunswick County Public Schools,Brunswick High,Graduation and Completion ,Class of 2019,105,2,0,9,82.9
2019,Buchanan County Public Schools,Council High ,Graduation and Completion ,Class of 2019,31,0,0,2,98.2
2019,Buchanan County Public Schools,Grundy High,Graduation and Completion ,Class of 2019,96,1,1,4,89.9
2019,Buchanan County Public Schools,Hurley High,Graduation and Completion ,Class of 2019,33,4,0,1,91.8
2019,Buchanan County Public Schools,Twin Valley High,Graduation and Completion ,Class of 2019,34,1,0,2,86.1
2019,Buckingham County Public Schools,Buckingham County High,Graduation and Completion ,Class of 2019,119,1,0,2,94.6
2019,Buena Vista City Public Schools,Parry McCluer High School,Graduation and Completion ,Class of 2019,100,3,0,3,91.5
2019,Campbell County Public Schools,Altavista High,Graduation and Completion ,Class of 2019,79,6,0,1,93.6
2019,Campbell County Public Schools,Brookville High,Graduation and Completion ,Class of 2019,245,6,0,1,95.5
2019,Campbell County Public Schools,Rustburg High,Graduation and Completion ,Class of 2019,202,11,2,0,93.7
2019,Campbell County Public Schools,William Campbell High,Graduation and Completion ,Class of 2019,67,4,0,0,97.2
2019,Caroline County Public Schools,Caroline High,Graduation and Completion ,Class of 2019,286,2,0,7,92.5
2019,Carroll County Public Schools,Carroll County High,Graduation and Completion ,Class of 2019,256,6,0,4,91.4
2019,Charles City County Public Schools,Charles City County High,Graduation and Completion ,Class of 2019,43,0,0,0,100
