County,Population,Square miles,Population density,,
Accomack County,"32,673",450,72.60666667,,
Albemarle County,"107,405",721,148.9667129,,
Alexandria city/county,"157,613",15,10507.53333,,
Alleghany County,"15,157",445,34.06067416,,
Amelia County,"12,953",355,36.48732394,,
Amherst County,"31,775",474,67.03586498,,
Appomattox County,"15,707",333,47.16816817,,
Arlington County,"233,464",26,8979.384615,,
Augusta County,"75,079",967,77.64115822,,
Bath County,"4,307",529,8.141776938,,
Bedford County,"78,376",753,104.0849934,,
Bland County,"6,388",358,17.84357542,,
Botetourt County,"33,343",541,61.63216266,,
Bristol city/county,"16,912",13,1300.923077,,
Brunswick County,"16,520",566,29.18727915,,
Buchanan County,"21,788",503,43.31610338,,
Buckingham County,"17,059",580,29.41206897,,
Buena Vista city/county,"6,484",7,926.2857143,,
Campbell County,"55,225",504,109.5734127,,
Caroline County,"30,381",528,57.53977273,,
Carroll County,"29,801",475,62.73894737,,
Charles City County,"7,014",183,38.32786885,,
Charlotte County,"12,040",475,25.34736842,,
Charlottesville city/county,"47,096",10,4709.6,,
Chesapeake city/county,"239,982",341,703.7595308,,
Chesterfield County,"343,551",423,812.177305,,
Clarke County,"14,423",176,81.94886364,,
Colonial Heights city/county,"17,428",8,2178.5,,
Covington city/county,"5,598",5,1119.6,,
Craig County,"5,110",330,15.48484848,,
Culpeper County,"51,101",379,134.8311346,,
Cumberland County,"9,824",297,33.07744108,,
Danville city/county,"41,070",43,955.1162791,,
Dickenson County,"14,756",331,44.58006042,,
Dinwiddie County,"28,485",504,56.51785714,,
Essex County,"10,998",257,42.79377432,,
Fairfax city/county,"23,531",391,60.18158568,,
Fairfax County,"1,145,862",6,190977,,
Falls Church city/county,"14,128",2,7064,,
Fauquier County,"69,728",647,107.7712519,,
Floyd County,"15,704",380,41.32631579,,
Fluvanna County,"26,594",286,92.98601399,,
Franklin city/county,"8,147",690,11.80724638,,
Franklin County,"56,187",8,7023.375,,
Frederick County,"86,415",414,208.7318841,,
Fredericksburg city/county,"28,622",10,2862.2,,
Galax city/county,"6,517",8,814.625,,
Giles County,"16,772",356,47.11235955,,
Gloucester County,"37,222",218,170.7431193,,
Goochland County,"22,865",281,81.37010676,,
Grayson County,"15,742",442,35.61538462,,
Greene County,"19,519",156,125.1217949,,
Greensville County,"11,525",295,39.06779661,,
Halifax County,"34,552",818,42.2396088,,
Hampton city/county,"135,041",51,2647.862745,,
Hanover County,"105,537",469,225.0255864,,
