Localities__Locality__LocalityName,Localities__Locality__LocalityCode,Localities__PrecinctsReporting,Localities__PrecinctsParticipating,Localities__LastModified,Localities__Candidates__BallotName,Localities__Candidates__BallotOrder,Localities__Candidates__Votes,Localities__Candidates__Percentage,Localities__Candidates__PoliticalParty
ACCOMACK COUNTY,1,17,17,2020-11-06T17:29:18.02,Joseph R. Biden,1,7578,44.68%,Democratic
ACCOMACK COUNTY,,,,,Donald J. Trump,2,9172,54.07%,Republican
ACCOMACK COUNTY,,,,,Jo Jorgensen,3,188,1.11%,Libertarian
ACCOMACK COUNTY,,,,,Write In,2147483647,24,0.14%,Write-In
ALBEMARLE COUNTY,3,31,31,2020-11-06T15:51:44.677,Joseph R. Biden,1,42466,65.68%,Democratic
ALBEMARLE COUNTY,,,,,Donald J. Trump,2,20804,32.18%,Republican
ALBEMARLE COUNTY,,,,,Jo Jorgensen,3,1014,1.57%,Libertarian
ALBEMARLE COUNTY,,,,,Write In,2147483647,373,0.58%,Write-In
ALEXANDRIA CITY,510,31,31,2020-11-08T15:20:57.297,Joseph R. Biden,1,66240,80.28%,Democratic
ALEXANDRIA CITY,,,,,Donald J. Trump,2,14544,17.63%,Republican
ALEXANDRIA CITY,,,,,Jo Jorgensen,3,1022,1.24%,Libertarian
ALEXANDRIA CITY,,,,,Write In,2147483647,702,0.85%,Write-In
ALLEGHANY COUNTY,5,13,13,2020-11-06T14:41:15.303,Joseph R. Biden,1,2243,27.34%,Democratic
ALLEGHANY COUNTY,,,,,Donald J. Trump,2,5859,71.43%,Republican
ALLEGHANY COUNTY,,,,,Jo Jorgensen,3,89,1.08%,Libertarian
ALLEGHANY COUNTY,,,,,Write In,2147483647,12,0.15%,Write-In
AMELIA COUNTY,7,6,6,2020-11-09T19:23:59.17,Joseph R. Biden,1,2411,30.55%,Democratic
AMELIA COUNTY,,,,,Donald J. Trump,2,5390,68.29%,Republican
AMELIA COUNTY,,,,,Jo Jorgensen,3,80,1.01%,Libertarian
AMELIA COUNTY,,,,,Write In,2147483647,12,0.15%,Write-In
