Division Number,School Division,2020-2021 School Year,Category,Hybrid Schedule,2020 Fall Membership
63,New Kent County,November 12,Partial in Person,"K-1 4 days AAAAR
2-12 remote",3040
108,Danville,September 8,Partial in Person,PK 4 days AARAA,5505
42,Hanover County,November 12,In Person,5 days AAAAA,16519
143,Manassas,September 22,Fully Remote,,7607
84,Scott County,September 8,Partial in Person,"PK-7  4 days AARAA
8-12 2 days AARBB",3538
50,King William County,September 8,All Hybrid,2 days ABRAB,2007
24,Culpeper County,September 8,All Hybrid,2 days AARBB,8256
113,Harrisonburg,November 12,Fully Remote,,6508
73,Prince Edward County,September 8,Fully Remote,,1949
68,Orange County,September 22,All Hybrid,"PK-8 2 days ABABR
9-12 1 day ABCDR",4907
142,Poquoson,September 8,Partial Hybrid,PK-3 2 days ABRAB,2090
16,Campbell County,September 22,Partial in Person,"Primary 4 days AAAAR
Upper Elem 2 days ABABR
Secondary 2 days ABABR",7787
119,Norton,November 12,In Person,4 days AAAAR,861
70,Patrick County,November 12,All Hybrid,2 days AARBB,2517
72,Powhatan County,November 12,Partial in Person,"PK-5 5 days AAAAA
6-12 2 days AARBB",4212
60,Montgomery County,November 12,Partial in Person,"PK-5 4 days AARAA
6-12 2 days (AB)(BA)R(AB)(BA)",9711
49,King and Queen County,September 22,All Hybrid,"PK-7 2 days AARBB
8-12 Week 1 ABCAB
8-12 Week 2 CABCA
8-12 Week 3 BCABC",875
14,Buchanan County,September 8,In Person,4 days AAAAR,2516
106,Colonial Heights,September 8,All Hybrid,"Week 1 ABABA
Week 2 BABAB",2784
95,Westmoreland County,September 8,All Hybrid,"Week 1 AAAAR
Week 2 BBBBR",1548
139,Salem,September 22,Partial in Person,"PK-2 AAAAA
3-12 2 days ABRAB",3828
75,Prince William County,September 8,Fully Remote,,89577
63,New Kent County,September 8,Fully Remote,,3040
10,Bedford County,September 22,Partial in Person,"PK-6 5 days AAAAA
7-12 2 days ABRAB",9175
23,Craig County,September 8,Partial in Person,"PK-8 4 days AAAAR
9-12 2 days ABABR",546
119,Norton,September 8,In Person,4 days AAAAR,861
42,Hanover County,September 8,In Person,5 days AAAAA,16519
27,Dinwiddie County,November 12,Partial in Person,"PK-5 4 days AARAA
6-12 2 days ABRAB",4209
